Time	Lux	CLA	CS	Activity
03/11/2013 15:43:30	58.4721	65.9502	0.0944	0.8447 1363031010000
03/11/2013 15:44:00	5.6268	3.3469	0.0041	0.0584 1363031040000
03/11/2013 15:44:30	102.6822	107.2291	0.1473	0.9842 1363031070000
03/11/2013 15:45:00	13.1992	15.3749	0.0213	0.5572 1363031100000
03/11/2013 15:45:30	31.2304	33.4224	0.0481	0.4267 1363031130000
03/11/2013 15:46:00	85.1533	84.1703	0.1187	0.9276 1363031160000
03/11/2013 15:46:30	16.0613	19.6621	0.0276	0.2303 1363031190000
03/11/2013 15:47:00	137.3500	142.4335	0.1870	1.0258 1363031220000
03/11/2013 15:47:30	57.2239	27.4904	0.0393	0.9276 1363031250000
03/11/2013 15:48:00	385.6219	266.4231	0.2947	0.4844 1363031280000
03/11/2013 15:48:30	148.0622	181.2472	0.2256	0.8962 1363031310000
03/11/2013 15:49:00	219.1189	122.2251	0.1648	1.0103 1363031340000
03/11/2013 15:49:30	178.2149	89.4872	0.1255	0.9695 1363031370000
03/11/2013 15:50:00	323.3419	396.6398	0.3710	0.6938 1363031400000
03/11/2013 15:50:30	331.3774	175.3153	0.2200	0.7819 1363031430000
03/11/2013 15:51:00	188.4299	226.6438	0.2648	1.0170 1363031460000
03/11/2013 15:51:30	415.5406	487.7690	0.4103	0.4145 1363031490000
03/11/2013 15:52:00	402.0977	466.4933	0.4019	0.4874 1363031520000
03/11/2013 15:52:30	450.1352	520.4673	0.4224	0.2022 1363031550000
03/11/2013 15:53:00	452.1783	521.3589	0.4227	0.0382 1363031580000
03/11/2013 15:53:30	450.0621	517.9612	0.4215	0.0382 1363031610000
03/11/2013 15:54:00	452.1783	521.3589	0.4227	0.1819 1363031640000
03/11/2013 15:54:30	452.1051	518.8528	0.4218	0.0540 1363031670000
03/11/2013 15:55:00	448.5213	512.0584	0.4194	0.0825 1363031700000
03/11/2013 15:55:30	446.4052	508.6607	0.4181	0.1413 1363031730000
03/11/2013 15:56:00	130.1433	147.2753	0.1921	0.8544 1363031760000
03/11/2013 15:56:30	42.8647	44.5120	0.0643	0.6424 1363031790000
03/11/2013 15:57:00	68.3710	69.3598	0.0991	0.7649 1363031820000
03/11/2013 15:57:30	70.6328	70.4110	0.1005	0.9365 1363031850000
03/11/2013 15:58:00	45.7019	43.0580	0.0622	0.7594 1363031880000
03/11/2013 15:58:30	113.3015	98.4282	0.1366	0.9274 1363031910000
03/11/2013 15:59:00	106.0805	127.4417	0.1707	0.7004 1363031940000
03/11/2013 15:59:30	299.9569	335.8225	0.3389	0.7715 1363031970000
03/11/2013 16:00:00	320.6065	352.2564	0.3481	0.7132 1363032000000
03/11/2013 16:00:30	118.9871	132.7920	0.1766	0.4617 1363032030000
03/11/2013 16:01:00	163.4409	179.9717	0.2244	0.7098 1363032060000
03/11/2013 16:01:30	193.3010	210.8859	0.2518	0.3672 1363032090000
03/11/2013 16:02:00	202.3411	221.9715	0.2610	0.8838 1363032120000
03/11/2013 16:02:30	90.4483	100.2622	0.1389	0.0584 1363032150000
03/11/2013 16:03:00	187.8205	208.2123	0.2496	0.8542 1363032180000
03/11/2013 16:03:30	324.7656	356.5456	0.3505	0.4908 1363032210000
03/11/2013 16:04:00	387.1042	416.7606	0.3805	0.3625 1363032240000
03/11/2013 16:04:30	316.3741	345.4610	0.3444	0.3953 1363032270000
03/11/2013 16:05:00	214.4868	243.2452	0.2777	0.5899 1363032300000
03/11/2013 16:05:30	97.6158	113.8509	0.1552	0.6337 1363032330000
03/11/2013 16:06:00	157.2387	174.7909	0.2195	0.6138 1363032360000
03/11/2013 16:06:30	173.2268	191.9468	0.2354	0.5612 1363032390000
03/11/2013 16:07:00	250.2323	270.9333	0.2979	0.5026 1363032420000
03/11/2013 16:07:30	329.8561	348.3062	0.3459	0.2150 1363032450000
03/11/2013 16:08:00	330.5047	348.3072	0.3459	0.0441 1363032480000
03/11/2013 16:08:30	334.0153	352.5955	0.3483	0.0624 1363032510000
03/11/2013 16:09:00	334.0153	352.5955	0.3483	0.0540 1363032540000
03/11/2013 16:09:30	272.9980	290.7649	0.3113	0.4617 1363032570000
03/11/2013 16:10:00	327.7400	344.9085	0.3441	0.2620 1363032600000
03/11/2013 16:10:30	338.1013	354.3786	0.3493	0.0540 1363032630000
03/11/2013 16:11:00	293.1453	312.2102	0.3249	0.4711 1363032660000
03/11/2013 16:11:30	343.7281	362.0645	0.3534	0.0441 1363032690000
03/11/2013 16:12:00	331.8992	349.1978	0.3464	0.0882 1363032720000
03/11/2013 16:12:30	329.7830	345.8001	0.3446	0.0662 1363032750000
03/11/2013 16:13:00	322.1132	337.2226	0.3397	0.1167 1363032780000
03/11/2013 16:13:30	313.7949	328.6441	0.3347	0.0910 1363032810000
03/11/2013 16:14:00	324.2294	340.6203	0.3416	0.0382 1363032840000
03/11/2013 16:14:30	327.7400	344.9085	0.3441	0.0698 1363032870000
03/11/2013 16:15:00	332.5477	349.1988	0.3464	0.0382 1363032900000
03/11/2013 16:15:30	333.9422	350.0893	0.3469	0.0493 1363032930000
03/11/2013 16:16:00	331.8992	349.1978	0.3464	0.0493 1363032960000
03/11/2013 16:16:30	259.1260	277.0067	0.3021	0.4818 1363032990000
03/11/2013 16:17:00	297.3045	316.4994	0.3275	0.2105 1363033020000
03/11/2013 16:17:30	316.5596	332.0428	0.3367	0.0825 1363033050000
03/11/2013 16:18:00	236.8626	252.1638	0.2844	0.5322 1363033080000
03/11/2013 16:18:30	319.4216	336.3300	0.3392	0.3418 1363033110000
03/11/2013 16:19:00	264.6797	282.1865	0.3056	0.2184 1363033140000
03/11/2013 16:19:30	248.6915	265.0305	0.2937	0.4074 1363033170000
03/11/2013 16:20:00	273.5734	288.2598	0.3096	0.4898 1363033200000
03/11/2013 16:20:30	267.2981	280.5729	0.3045	0.4747 1363033230000
03/11/2013 16:21:00	216.7153	230.7185	0.2680	0.5041 1363033260000
03/11/2013 16:21:30	324.2294	340.6203	0.3416	0.2601 1363033290000
03/11/2013 16:22:00	330.4316	345.8011	0.3446	0.0936 1363033320000
03/11/2013 16:22:30	322.1132	337.2226	0.3397	0.0441 1363033350000
03/11/2013 16:23:00	316.5596	332.0428	0.3367	0.0624 1363033380000
03/11/2013 16:23:30	316.5596	332.0428	0.3367	0.0764 1363033410000
03/11/2013 16:24:00	314.5166	331.1512	0.3362	0.0382 1363033440000
03/11/2013 16:24:30	224.4582	241.8022	0.2766	0.4793 1363033470000
03/11/2013 16:25:00	283.3594	300.2350	0.3174	0.2984 1363033500000
03/11/2013 16:25:30	273.6466	290.7659	0.3113	0.2808 1363033530000
03/11/2013 16:26:00	277.2303	297.5603	0.3157	0.2563 1363033560000
03/11/2013 16:26:30	336.7800	355.9941	0.3502	0.0493 1363033590000
03/11/2013 16:27:00	328.4617	347.4157	0.3455	0.0662 1363033620000
03/11/2013 16:27:30	328.3885	344.9095	0.3441	0.0493 1363033650000
03/11/2013 16:28:00	328.4617	347.4157	0.3455	0.0441 1363033680000
03/11/2013 16:28:30	334.0153	352.5955	0.3483	0.0382 1363033710000
03/11/2013 16:29:00	233.3520	247.8755	0.2812	0.5551 1363033740000
03/11/2013 16:29:30	336.1315	355.9931	0.3502	0.0493 1363033770000
03/11/2013 16:30:00	326.3455	344.0180	0.3436	0.0493 1363033800000
03/11/2013 16:30:30	322.1864	339.7287	0.3411	0.0662 1363033830000
03/11/2013 16:31:00	66.0687	72.0216	0.1027	0.1986 1363033860000
03/11/2013 16:31:30	202.1947	216.9593	0.2569	0.4044 1363033890000
03/11/2013 16:32:00	322.1864	339.7287	0.3411	0.3339 1363033920000
03/11/2013 16:32:30	316.6327	334.5489	0.3382	0.0382 1363033950000
03/11/2013 16:33:00	313.8680	331.1502	0.3362	0.1765 1363033980000
03/11/2013 16:33:30	82.7785	91.6847	0.1282	0.2782 1363034010000
03/11/2013 16:34:00	304.2284	324.1873	0.3321	0.2582 1363034040000
03/11/2013 16:34:30	180.0044	194.6225	0.2377	0.3840 1363034070000
03/11/2013 16:35:00	270.8818	287.3673	0.3090	0.3120 1363034100000
03/11/2013 16:35:30	165.4839	180.8632	0.2252	0.5471 1363034130000
03/11/2013 16:36:00	262.6367	281.2949	0.3050	0.1695 1363034160000
03/11/2013 16:36:30	250.7345	265.9220	0.2943	0.0825 1363034190000
03/11/2013 16:37:00	254.8937	270.2113	0.2974	0.0936 1363034220000
03/11/2013 16:37:30	258.4043	274.4995	0.3003	0.0987 1363034250000
03/11/2013 16:38:00	252.2021	269.3187	0.2967	0.0698 1363034280000
03/11/2013 16:38:30	238.9787	255.5614	0.2869	0.2239 1363034310000
03/11/2013 16:39:00	232.7034	247.8745	0.2812	0.2150 1363034340000
03/11/2013 16:39:30	213.9505	227.3199	0.2653	0.1267 1363034370000
03/11/2013 16:40:00	210.5131	225.5378	0.2639	0.0825 1363034400000
03/11/2013 16:40:30	224.4582	241.8022	0.2766	0.3564 1363034430000
03/11/2013 16:41:00	275.1142	294.1626	0.3135	0.0936 1363034460000
03/11/2013 16:41:30	266.8690	288.0903	0.3095	0.2885 1363034490000
03/11/2013 16:42:00	254.3915	275.2226	0.3008	0.1463 1363034520000
03/11/2013 16:42:30	115.3302	123.4915	0.1662	0.6684 1363034550000
03/11/2013 16:43:00	24.3796	28.2406	0.0404	0.2105 1363034580000
03/11/2013 16:43:30	24.3796	28.2406	0.0404	0.5031 1363034610000
03/11/2013 16:44:00	2.1162	2.0048	0.0023	0.1103 1363034640000
03/11/2013 16:44:30	7.6698	8.5775	0.0113	0.3953 1363034670000
03/11/2013 16:45:00	178.8536	199.6328	0.2422	0.7060 1363034700000
03/11/2013 16:45:30	359.2871	386.7379	0.3661	0.1146 1363034730000
03/11/2013 16:46:00	365.4893	391.9187	0.3687	0.0584 1363034760000
03/11/2013 16:46:30	363.3732	388.5210	0.3670	0.0540 1363034790000
03/11/2013 16:47:00	361.9787	387.6304	0.3666	0.0584 1363034820000
03/11/2013 16:47:30	361.3302	387.6294	0.3666	0.0540 1363034850000
03/11/2013 16:48:00	363.3732	388.5210	0.3670	0.0493 1363034880000
03/11/2013 16:48:30	365.4162	389.4125	0.3675	0.0624 1363034910000
03/11/2013 16:49:00	367.5323	392.8102	0.3691	0.0624 1363034940000
03/11/2013 16:49:30	367.5323	392.8102	0.3691	0.0624 1363034970000
03/11/2013 16:50:00	366.8838	392.8092	0.3691	0.0624 1363035000000
03/11/2013 16:50:30	365.4162	389.4125	0.3675	0.0698 1363035030000
03/11/2013 16:51:00	357.7464	380.8350	0.3632	0.1305 1363035060000
03/11/2013 16:51:30	357.7464	380.8350	0.3632	0.0493 1363035090000
03/11/2013 16:52:00	353.5872	376.5458	0.3610	0.1167 1363035120000
03/11/2013 16:52:30	353.5872	376.5458	0.3610	0.0493 1363035150000
03/11/2013 16:53:00	151.5388	164.5988	0.2097	0.2345 1363035180000
03/11/2013 16:53:30	148.7741	161.2001	0.2063	0.0312 1363035210000
03/11/2013 16:54:00	149.4226	161.2011	0.2063	0.0312 1363035240000
03/11/2013 16:54:30	150.8171	162.0917	0.2072	0.0221 1363035270000
03/11/2013 16:55:00	159.1354	170.6702	0.2156	0.0987 1363035300000
03/11/2013 16:55:30	149.3495	158.6950	0.2038	0.1167 1363035330000
03/11/2013 16:56:00	167.0247	186.7660	0.2307	0.5940 1363035360000
03/11/2013 16:56:30	195.8463	206.7662	0.2483	0.7927 1363035390000
03/11/2013 16:57:00	48.1107	56.4802	0.0813	0.5829 1363035420000
03/11/2013 16:57:30	86.1867	73.8162	0.1051	0.0493 1363035450000
03/11/2013 16:58:00	82.6029	69.4875	0.0993	0.0987 1363035480000
03/11/2013 16:58:30	51.7676	26.9255	0.0384	0.3544 1363035510000
03/11/2013 16:59:00	93.1399	101.1547	0.1400	0.7101 1363035540000
03/11/2013 16:59:30	31.5472	18.2582	0.0255	0.7324 1363035570000
03/11/2013 17:00:00	10.4345	11.9762	0.0163	0.7772 1363035600000
03/11/2013 17:00:30	5.7731	9.2184	0.0123	0.6789 1363035630000
03/11/2013 17:01:00	3.5838	4.2764	0.0053	0.4026 1363035660000
03/11/2013 17:01:30	89.7109	107.2092	0.1473	0.8213 1363035690000
03/11/2013 17:02:00	16.0854	18.0445	0.0252	0.4596 1363035720000
03/11/2013 17:02:30	7.6456	5.4841	0.0070	0.4098 1363035750000
03/11/2013 17:03:00	392.2144	538.9258	0.4288	0.7042 1363035780000
03/11/2013 17:03:30	1317.9353	1915.1213	0.6054	0.7575 1363035810000
03/11/2013 17:04:00	944.5639	1328.1283	0.5673	0.6337 1363035840000
03/11/2013 17:04:30	1029.7801	1453.3852	0.5776	0.8493 1363035870000
03/11/2013 17:05:00	979.2024	1390.3711	0.5726	0.6633 1363035900000
03/11/2013 17:05:30	378.5749	489.9355	0.4111	0.5870 1363035930000
03/11/2013 17:06:00	344.3022	446.9199	0.3938	0.4390 1363035960000
03/11/2013 17:06:30	499.9455	661.4029	0.4652	0.6356 1363035990000
03/11/2013 17:07:00	997.8821	1395.9800	0.5731	0.6209 1363036020000
03/11/2013 17:07:30	1152.2042	1632.8899	0.5901	0.3439 1363036050000
03/11/2013 17:08:00	1209.6666	1723.3443	0.5955	0.4478 1363036080000
03/11/2013 17:08:30	1411.5678	2051.9692	0.6115	0.2022 1363036110000
03/11/2013 17:09:00	1165.8274	1678.6604	0.5929	0.0962 1363036140000
03/11/2013 17:09:30	994.9077	1412.7669	0.5745	0.1011 1363036170000
03/11/2013 17:10:00	900.8370	1266.3251	0.5615	0.4908 1363036200000
03/11/2013 17:10:30	839.6445	1167.9601	0.5514	0.4318 1363036230000
03/11/2013 17:11:00	524.0424	688.1777	0.4720	0.5207 1363036260000
03/11/2013 17:11:30	359.3590	467.7653	0.4024	0.3618 1363036290000
03/11/2013 17:12:00	475.5077	628.7730	0.4564	0.3189 1363036320000
03/11/2013 17:12:30	637.5486	860.0121	0.5081	0.6329 1363036350000
03/11/2013 17:13:00	1164.3598	1675.9954	0.5927	0.2150 1363036380000
